Lugar de condena;Nacionalidad;Periodo;Total
23 Ja�n;Total;2020;3969
23 Ja�n;Total;2021;5087
23 Ja�n;Total;2022;5309
23 Ja�n;Total;2023;4868
24 Le�n;Total;2008;3083
24 Le�n;Total;2009;2931
24 Le�n;Total;2010;2779
24 Le�n;Total;2011;2627
24 Le�n;Total;2012;2475
24 Le�n;Total;2013;2323
24 Le�n;Total;2014;2339
24 Le�n;Total;2015;2164
24 Le�n;Total;2016;2934
24 Le�n;Total;2017;3476
24 Le�n;Total;2018;3186
24 Le�n;Total;2019;3398
24 Le�n;Total;2020;2731
24 Le�n;Total;2021;3390
24 Le�n;Total;2022;3771
24 Le�n;Total;2023;3303
25 Lleida;Total;2008;4631
25 Lleida;Total;2009;4190
25 Lleida;Total;2010;3749
25 Lleida;Total;2011;3308
25 Lleida;Total;2012;2867
25 Lleida;Total;2013;2426
25 Lleida;Total;2014;2608
25 Lleida;Total;2015;3056
25 Lleida;Total;2016;3348
25 Lleida;Total;2017;3436
25 Lleida;Total;2018;3764
25 Lleida;Total;2019;3727
25 Lleida;Total;2020;2549
25 Lleida;Total;2021;4139
25 Lleida;Total;2022;4320
25 Lleida;Total;2023;4206
27 Lugo;Total;2008;2242
27 Lugo;Total;2009;2111
27 Lugo;Total;2010;1980
27 Lugo;Total;2011;1849
27 Lugo;Total;2012;1718
27 Lugo;Total;2013;1587
27 Lugo;Total;2014;1753
27 Lugo;Total;2015;1435
27 Lugo;Total;2016;1729
27 Lugo;Total;2017;1726
27 Lugo;Total;2018;1681
27 Lugo;Total;2019;1801
27 Lugo;Total;2020;1391
27 Lugo;Total;2021;2071
27 Lugo;Total;2022;2250
27 Lugo;Total;2023;1885
28 Madrid;Total;2008;46183
28 Madrid;Total;2009;43771
28 Madrid;Total;2010;41359
28 Madrid;Total;2011;38947
28 Madrid;Total;2012;36535
28 Madrid;Total;2013;34123
28 Madrid;Total;2014;34146
28 Madrid;Total;2015;34746
28 Madrid;Total;2016;46487
28 Madrid;Total;2017;52778
28 Madrid;Total;2018;56063
28 Madrid;Total;2019;54264
28 Madrid;Total;2020;38856
28 Madrid;Total;2021;49725
28 Madrid;Total;2022;50268
28 Madrid;Total;2023;47903
29 M�laga;Total;2008;17291
29 M�laga;Total;2009;16052
29 M�laga;Total;2010;14813
29 M�laga;Total;2011;13574
29 M�laga;Total;2012;12335
29 M�laga;Total;2013;11096
29 M�laga;Total;2014;10700
29 M�laga;Total;2015;11105
29 M�laga;Total;2016;14306
29 M�laga;Total;2017;15277
29 M�laga;Total;2018;15689
29 M�laga;Total;2019;15808
29 M�laga;Total;2020;11801
29 M�laga;Total;2021;17190
29 M�laga;Total;2022;17518
29 M�laga;Total;2023;16449
30 Murcia;Total;2008;4761
30 Murcia;Total;2009;4009
30 Murcia;Total;2010;3257
30 Murcia;Total;2011;2505
30 Murcia;Total;2012;1753
30 Murcia;Total;2013;1001
30 Murcia;Total;2014;9757
30 Murcia;Total;2015;10238
30 Murcia;Total;2016;12812
30 Murcia;Total;2017;12761
30 Murcia;Total;2018;13101
30 Murcia;Total;2019;13275
30 Murcia;Total;2020;10411
30 Murcia;Total;2021;14147
30 Murcia;Total;2022;14751
30 Murcia;Total;2023;13236
31 Navarra;Total;2008;1318
31 Navarra;Total;2009;1122
31 Navarra;Total;2010;926
31 Navarra;Total;2011;730
31 Navarra;Total;2012;534
31 Navarra;Total;2013;338
31 Navarra;Total;2014;3301
31 Navarra;Total;2015;3481
31 Navarra;Total;2016;4109
31 Navarra;Total;2017;4533
31 Navarra;Total;2018;4775
31 Navarra;Total;2019;4940
31 Navarra;Total;2020;3686
31 Navarra;Total;2021;4725
31 Navarra;Total;2022;5515
31 Navarra;Total;2023;4426
32 Ourense;Total;2008;1890
32 Ourense;Total;2009;1889
32 Ourense;Total;2010;1888
32 Ourense;Total;2011;1887
32 Ourense;Total;2012;1886
32 Ourense;Total;2013;1885
32 Ourense;Total;2014;1839
32 Ourense;Total;2015;1955
32 Ourense;Total;2016;1883
32 Ourense;Total;2017;2084
32 Ourense;Total;2018;1859
32 Ourense;Total;2019;2198
32 Ourense;Total;2020;1557
32 Ourense;Total;2021;1960
32 Ourense;Total;2022;2126
32 Ourense;Total;2023;1557
34 Palencia;Total;2008;17240
34 Palencia;Total;2009;15580
34 Palencia;Total;2010;13920
34 Palencia;Total;2011;12260
34 Palencia;Total;2012;10600
34 Palencia;Total;2013;8940
34 Palencia;Total;2014;7760
34 Palencia;Total;2015;8460
34 Palencia;Total;2016;8490
34 Palencia;Total;2017;1053
34 Palencia;Total;2018;9740
34 Palencia;Total;2019;1130
34 Palencia;Total;2020;7510
34 Palencia;Total;2021;1173
34 Palencia;Total;2022;1198
34 Palencia;Total;2023;1284
35 Palmas, Las;Total;2008;11993
35 Palmas, Las;Total;2009;11079
35 Palmas, Las;Total;2010;10165
35 Palmas, Las;Total;2011;9251
35 Palmas, Las;Total;2012;8337
35 Palmas, Las;Total;2013;7423
35 Palmas, Las;Total;2014;7623
35 Palmas, Las;Total;2015;7721
35 Palmas, Las;Total;2016;9408
35 Palmas, Las;Total;2017;10556
35 Palmas, Las;Total;2018;11091
35 Palmas, Las;Total;2019;11001
35 Palmas, Las;Total;2020;9071
35 Palmas, Las;Total;2021;12341
35 Palmas, Las;Total;2022;13314
35 Palmas, Las;Total;2023;12501
36 Pontevedra;Total;2008;3139
36 Pontevedra;Total;2009;2626
36 Pontevedra;Total;2010;2113
36 Pontevedra;Total;2011;1600
36 Pontevedra;Total;2012;1087
36 Pontevedra;Total;2013;5740
36 Pontevedra;Total;2014;5695
36 Pontevedra;Total;2015;5909
36 Pontevedra;Total;2016;6631
36 Pontevedra;Total;2017;7204
36 Pontevedra;Total;2018;6199
36 Pontevedra;Total;2019;7535
36 Pontevedra;Total;2020;5548
36 Pontevedra;Total;2021;7654
36 Pontevedra;Total;2022;7710
36 Pontevedra;Total;2023;7476
26 Rioja, La;Total;2008;2306
26 Rioja, La;Total;2009;2182
26 Rioja, La;Total;2010;2058
26 Rioja, La;Total;2011;1934
26 Rioja, La;Total;2012;1810
26 Rioja, La;Total;2013;1686
26 Rioja, La;Total;2014;1890
26 Rioja, La;Total;2015;1956
26 Rioja, La;Total;2016;2561
26 Rioja, La;Total;2017;2476
26 Rioja, La;Total;2018;2734
26 Rioja, La;Total;2019;2439
26 Rioja, La;Total;2020;1911
26 Rioja, La;Total;2021;2971
26 Rioja, La;Total;2022;3095
26 Rioja, La;Total;2023;2379
37 Salamanca;Total;2008;307
37 Salamanca;Total;2009;273
37 Salamanca;Total;2010;239
37 Salamanca;Total;2011;205
37 Salamanca;Total;2012;171
37 Salamanca;Total;2013;137
37 Salamanca;Total;2014;1326
37 Salamanca;Total;2015;1422
37 Salamanca;Total;2016;1891
37 Salamanca;Total;2017;2021
37 Salamanca;Total;2018;2272
37 Salamanca;Total;2019;2282
37 Salamanca;Total;2020;1717
37 Salamanca;Total;2021;2271
37 Salamanca;Total;2022;2082
37 Salamanca;Total;2023;1847
38 Santa Cruz de Tenerife;Total;2008;9458
38 Santa Cruz de Tenerife;Total;2009;8947
38 Santa Cruz de Tenerife;Total;2010;8436
38 Santa Cruz de Tenerife;Total;2011;7925
38 Santa Cruz de Tenerife;Total;2012;7414
38 Santa Cruz de Tenerife;Total;2013;6903
38 Santa Cruz de Tenerife;Total;2014;8076
38 Santa Cruz de Tenerife;Total;2015;8592
38 Santa Cruz de Tenerife;Total;2016;10569
38 Santa Cruz de Tenerife;Total;2017;10277
38 Santa Cruz de Tenerife;Total;2018;9852
38 Santa Cruz de Tenerife;Total;2019;10081
38 Santa Cruz de Tenerife;Total;2020;7618
38 Santa Cruz de Tenerife;Total;2021;10169
38 Santa Cruz de Tenerife;Total;2022;9779
38 Santa Cruz de Tenerife;Total;2023;9536
40 Segovia;Total;2008;10480
40 Segovia;Total;2009;10060
40 Segovia;Total;2010;9640
40 Segovia;Total;2011;9220
40 Segovia;Total;2012;8800
40 Segovia;Total;2013;8380
40 Segovia;Total;2014;6420
40 Segovia;Total;2015;6190
40 Segovia;Total;2016;6710
40 Segovia;Total;2017;8930
40 Segovia;Total;2018;9430
40 Segovia;Total;2019;1015
40 Segovia;Total;2020;5990
40 Segovia;Total;2021;1026
40 Segovia;Total;2022;1044
40 Segovia;Total;2023;7570
41 Sevilla;Total;2008;14855
41 Sevilla;Total;2009;14201
41 Sevilla;Total;2010;13547
41 Sevilla;Total;2011;12893
41 Sevilla;Total;2012;12239
41 Sevilla;Total;2013;11585
41 Sevilla;Total;2014;11430
41 Sevilla;Total;2015;12176
41 Sevilla;Total;2016;15637
41 Sevilla;Total;2017;17347
41 Sevilla;Total;2018;18113
41 Sevilla;Total;2019;18433
41 Sevilla;Total;2020;13742
41 Sevilla;Total;2021;18047
41 Sevilla;Total;2022;17746
41 Sevilla;Total;2023;16197
42 Soria;Total;2008;8480
42 Soria;Total;2009;7848
42 Soria;Total;2010;7216
42 Soria;Total;2011;6584
42 Soria;Total;2012;5952
42 Soria;Total;2013;5320
42 Soria;Total;2014;4300
42 Soria;Total;2015;3770
42 Soria;Total;2016;4070
42 Soria;Total;2017;4070
42 Soria;Total;2018;4590
42 Soria;Total;2019;5920
42 Soria;Total;2020;4230
42 Soria;Total;2021;6530
42 Soria;Total;2022;6420
42 Soria;Total;2023;6600
43 Tarragona;Total;2008;8591
43 Tarragona;Total;2009;7999
43 Tarragona;Total;2010;7407
43 Tarragona;Total;2011;6815
43 Tarragona;Total;2012;6223
43 Tarragona;Total;2013;5631
43 Tarragona;Total;2014;5750
43 Tarragona;Total;2015;5885
43 Tarragona;Total;2016;7477
43 Tarragona;Total;2017;7417
43 Tarragona;Total;2018;7840
43 Tarragona;Total;2019;7790
43 Tarragona;Total;2020;5754
43 Tarragona;Total;2021;7688
43 Tarragona;Total;2022;7870
43 Tarragona;Total;2023;7975
44 Teruel;Total;2008;7020
44 Teruel;Total;2009;6700
44 Teruel;Total;2010;6380
44 Teruel;Total;2011;6060
44 Teruel;Total;2012;5740
44 Teruel;Total;2013;5420
44 Teruel;Total;2014;5730
44 Teruel;Total;2015;5840
44 Teruel;Total;2016;7170
44 Teruel;Total;2017;6750
44 Teruel;Total;2018;6230
44 Teruel;Total;2019;7360
44 Teruel;Total;2020;5890
44 Teruel;Total;2021;6780
44 Teruel;Total;2022;7210
44 Teruel;Total;2023;7090
45 Toledo;Total;2008;5575
45 Toledo;Total;2009;4999
45 Toledo;Total;2010;4423
45 Toledo;Total;2011;3847
45 Toledo;Total;2012;3271
45 Toledo;Total;2013;2695
45 Toledo;Total;2014;2891
45 Toledo;Total;2015;2832
45 Toledo;Total;2016;3148
45 Toledo;Total;2017;3124
45 Toledo;Total;2018;3103
45 Toledo;Total;2019;3447
45 Toledo;Total;2020;2513
45 Toledo;Total;2021;3663
45 Toledo;Total;2022;3722
45 Toledo;Total;2023;3490
46 Valencia/Val�ncia;Total;2008;39464
46 Valencia/Val�ncia;Total;2009;34898
46 Valencia/Val�ncia;Total;2010;30332
46 Valencia/Val�ncia;Total;2011;25766
46 Valencia/Val�ncia;Total;2012;21200
46 Valencia/Val�ncia;Total;2013;16634
46 Valencia/Val�ncia;Total;2014;16948
46 Valencia/Val�ncia;Total;2015;17872
46 Valencia/Val�ncia;Total;2016;22917
46 Valencia/Val�ncia;Total;2017;24751
46 Valencia/Val�ncia;Total;2018;25855
46 Valencia/Val�ncia;Total;2019;25424
46 Valencia/Val�ncia;Total;2020;19767
46 Valencia/Val�ncia;Total;2021;25834
46 Valencia/Val�ncia;Total;2022;26689
46 Valencia/Val�ncia;Total;2023;26410
47 Valladolid;Total;2008;3446
47 Valladolid;Total;2009;3238
47 Valladolid;Total;2010;3030
47 Valladolid;Total;2011;2822
47 Valladolid;Total;2012;2614
47 Valladolid;Total;2013;2406
47 Valladolid;Total;2014;2503
47 Valladolid;Total;2015;2527
47 Valladolid;Total;2016;3186
47 Valladolid;Total;2017;3615
47 Valladolid;Total;2018;4004
47 Valladolid;Total;2019;3855
47 Valladolid;Total;2020;2514
47 Valladolid;Total;2021;4110
47 Valladolid;Total;2022;4446
47 Valladolid;Total;2023;3295
49 Zamora;Total;2008;2683
49 Zamora;Total;2009;2347
49 Zamora;Total;2010;2011
49 Zamora;Total;2011;1675
49 Zamora;Total;2012;1339
49 Zamora;Total;2013;1003
49 Zamora;Total;2014;1043
49 Zamora;Total;2015;9380
49 Zamora;Total;2016;1057
49 Zamora;Total;2017;9560
49 Zamora;Total;2018;1043
49 Zamora;Total;2019;9070
49 Zamora;Total;2020;8570
49 Zamora;Total;2021;1162
49 Zamora;Total;2022;1158
49 Zamora;Total;2023;7310
50 Zaragoza;Total;2008;7316
50 Zaragoza;Total;2009;6782
50 Zaragoza;Total;2010;6248
50 Zaragoza;Total;2011;5714
50 Zaragoza;Total;2012;5180
50 Zaragoza;Total;2013;4646
50 Zaragoza;Total;2014;4745
50 Zaragoza;Total;2015;5223
50 Zaragoza;Total;2016;6810
50 Zaragoza;Total;2017;7125
50 Zaragoza;Total;2018;7237
50 Zaragoza;Total;2019;7447
50 Zaragoza;Total;2020;5868
50 Zaragoza;Total;2021;7767
50 Zaragoza;Total;2022;8127
50 Zaragoza;Total;2023;7872
51 Ceuta;Total;2008;3673
51 Ceuta;Total;2009;3336
51 Ceuta;Total;2010;2999
51 Ceuta;Total;2011;2662
51 Ceuta;Total;2012;2325
51 Ceuta;Total;2013;1988
51 Ceuta;Total;2014;1915
51 Ceuta;Total;2015;1805
51 Ceuta;Total;2016;1793
51 Ceuta;Total;2017;2037
51 Ceuta;Total;2018;2130
51 Ceuta;Total;2019;2180
51 Ceuta;Total;2020;1400
51 Ceuta;Total;2021;1192
51 Ceuta;Total;2022;1154
51 Ceuta;Total;2023;1282
52 Melilla;Total;2008;1397
52 Melilla;Total;2009;1389
52 Melilla;Total;2010;1381
52 Melilla;Total;2011;1373
52 Melilla;Total;2012;1365
52 Melilla;Total;2013;1357
52 Melilla;Total;2014;1385
52 Melilla;Total;2015;1489
52 Melilla;Total;2016;1400
52 Melilla;Total;2017;1767
52 Melilla;Total;2018;1870
52 Melilla;Total;2019;1855
52 Melilla;Total;2020;1184
52 Melilla;Total;2021;1127
52 Melilla;Total;2022;1143
52 Melilla;Total;2023;1154
