Provincias;Sexo;Periodo;Total
02 Albacete;Ambos sexos;2023;83,61
02 Albacete;Ambos sexos;2022;82,99
02 Albacete;Ambos sexos;2021;83,21
02 Albacete;Ambos sexos;2020;81,36
02 Albacete;Ambos sexos;2019;83,31
02 Albacete;Ambos sexos;2018;83,36
02 Albacete;Ambos sexos;2017;83,47
02 Albacete;Ambos sexos;2016;83,14
02 Albacete;Ambos sexos;2015;82,87
02 Albacete;Ambos sexos;2014;82,66
02 Albacete;Ambos sexos;2013;82,84
02 Albacete;Ambos sexos;2012;82,65
02 Albacete;Ambos sexos;2011;82,43
02 Albacete;Ambos sexos;2010;82,65
02 Albacete;Ambos sexos;2009;81,81
02 Albacete;Ambos sexos;2008;81,84
02 Albacete;Ambos sexos;2007;81,58
02 Albacete;Ambos sexos;2006;81,55
02 Albacete;Ambos sexos;2005;80,87
02 Albacete;Ambos sexos;2004;81,11
02 Albacete;Ambos sexos;2003;80,20
02 Albacete;Ambos sexos;2002;80,62
02 Albacete;Ambos sexos;2001;80,37
02 Albacete;Ambos sexos;2000;79,94
02 Albacete;Ambos sexos;1999;80,09
02 Albacete;Ambos sexos;1998;79,13
02 Albacete;Ambos sexos;1997;79,46
02 Albacete;Ambos sexos;1996;78,88
03 Alicante/Alacant;Ambos sexos;2023;83,21
03 Alicante/Alacant;Ambos sexos;2022;82,62
03 Alicante/Alacant;Ambos sexos;2021;82,21
03 Alicante/Alacant;Ambos sexos;2020;82,42
03 Alicante/Alacant;Ambos sexos;2019;83,09
03 Alicante/Alacant;Ambos sexos;2018;82,69
03 Alicante/Alacant;Ambos sexos;2017;82,68
03 Alicante/Alacant;Ambos sexos;2016;82,85
03 Alicante/Alacant;Ambos sexos;2015;82,51
03 Alicante/Alacant;Ambos sexos;2014;82,66
03 Alicante/Alacant;Ambos sexos;2013;82,57
03 Alicante/Alacant;Ambos sexos;2012;81,99
03 Alicante/Alacant;Ambos sexos;2011;82,17
03 Alicante/Alacant;Ambos sexos;2010;82,09
03 Alicante/Alacant;Ambos sexos;2009;81,91
03 Alicante/Alacant;Ambos sexos;2008;81,26
03 Alicante/Alacant;Ambos sexos;2007;80,92
03 Alicante/Alacant;Ambos sexos;2006;80,85
03 Alicante/Alacant;Ambos sexos;2005;80,05
03 Alicante/Alacant;Ambos sexos;2004;80,08
03 Alicante/Alacant;Ambos sexos;2003;79,29
03 Alicante/Alacant;Ambos sexos;2002;79,29
03 Alicante/Alacant;Ambos sexos;2001;78,92
03 Alicante/Alacant;Ambos sexos;2000;78,89
03 Alicante/Alacant;Ambos sexos;1999;78,36
03 Alicante/Alacant;Ambos sexos;1998;78,77
03 Alicante/Alacant;Ambos sexos;1997;78,45
03 Alicante/Alacant;Ambos sexos;1996;78,23
04 Almería;Ambos sexos;2023;81,81
04 Almería;Ambos sexos;2022;81,31
04 Almería;Ambos sexos;2021;80,61
04 Almería;Ambos sexos;2020;81,20
04 Almería;Ambos sexos;2019;81,93
04 Almería;Ambos sexos;2018;81,14
04 Almería;Ambos sexos;2017;81,75
04 Almería;Ambos sexos;2016;81,70
04 Almería;Ambos sexos;2015;81,11
04 Almería;Ambos sexos;2014;81,82
04 Almería;Ambos sexos;2013;81,58
04 Almería;Ambos sexos;2012;81,03
04 Almería;Ambos sexos;2011;80,79
04 Almería;Ambos sexos;2010;80,96
04 Almería;Ambos sexos;2009;80,23
04 Almería;Ambos sexos;2008;79,95
04 Almería;Ambos sexos;2007;79,52
04 Almería;Ambos sexos;2006;79,47
04 Almería;Ambos sexos;2005;78,75
04 Almería;Ambos sexos;2004;78,83
04 Almería;Ambos sexos;2003;78,36
04 Almería;Ambos sexos;2002;77,95
04 Almería;Ambos sexos;2001;78,33
04 Almería;Ambos sexos;2000;78,46
04 Almería;Ambos sexos;1999;77,82
04 Almería;Ambos sexos;1998;77,99
04 Almería;Ambos sexos;1997;77,61
04 Almería;Ambos sexos;1996;77,17
01 Araba/Álava;Ambos sexos;2023;85,07
01 Araba/Álava;Ambos sexos;2022;84,13
01 Araba/Álava;Ambos sexos;2021;84,31
01 Araba/Álava;Ambos sexos;2020;83,59
01 Araba/Álava;Ambos sexos;2019;84,76
01 Araba/Álava;Ambos sexos;2018;84,32
01 Araba/Álava;Ambos sexos;2017;83,89
01 Araba/Álava;Ambos sexos;2016;84,18
01 Araba/Álava;Ambos sexos;2015;83,49
01 Araba/Álava;Ambos sexos;2014;84,38
01 Araba/Álava;Ambos sexos;2013;83,36
01 Araba/Álava;Ambos sexos;2012;83,53
01 Araba/Álava;Ambos sexos;2011;83,04
01 Araba/Álava;Ambos sexos;2010;83,19
01 Araba/Álava;Ambos sexos;2009;82,35
01 Araba/Álava;Ambos sexos;2008;82,55
01 Araba/Álava;Ambos sexos;2007;81,92
01 Araba/Álava;Ambos sexos;2006;82,20
01 Araba/Álava;Ambos sexos;2005;80,85
01 Araba/Álava;Ambos sexos;2004;81,78
01 Araba/Álava;Ambos sexos;2003;81,22
01 Araba/Álava;Ambos sexos;2002;81,44
01 Araba/Álava;Ambos sexos;2001;80,60
01 Araba/Álava;Ambos sexos;2000;80,15
01 Araba/Álava;Ambos sexos;1999;79,87
01 Araba/Álava;Ambos sexos;1998;79,88
01 Araba/Álava;Ambos sexos;1997;79,88
01 Araba/Álava;Ambos sexos;1996;79,22
33 Asturias;Ambos sexos;2023;83,11
33 Asturias;Ambos sexos;2022;82,46
33 Asturias;Ambos sexos;2021;82,75
33 Asturias;Ambos sexos;2020;82,10
33 Asturias;Ambos sexos;2019;82,84
33 Asturias;Ambos sexos;2018;82,64
33 Asturias;Ambos sexos;2017;82,59
33 Asturias;Ambos sexos;2016;82,38
33 Asturias;Ambos sexos;2015;82,21
33 Asturias;Ambos sexos;2014;82,11
33 Asturias;Ambos sexos;2013;82,19
33 Asturias;Ambos sexos;2012;81,52
33 Asturias;Ambos sexos;2011;81,30
33 Asturias;Ambos sexos;2010;81,18
33 Asturias;Ambos sexos;2009;81,09
33 Asturias;Ambos sexos;2008;80,70
33 Asturias;Ambos sexos;2007;80,37
33 Asturias;Ambos sexos;2006;80,19
33 Asturias;Ambos sexos;2005;79,90
33 Asturias;Ambos sexos;2004;79,84
33 Asturias;Ambos sexos;2003;79,18
33 Asturias;Ambos sexos;2002;79,52
33 Asturias;Ambos sexos;2001;79,50
33 Asturias;Ambos sexos;2000;78,79
33 Asturias;Ambos sexos;1999;78,40
33 Asturias;Ambos sexos;1998;78,36
33 Asturias;Ambos sexos;1997;78,31
33 Asturias;Ambos sexos;1996;77,59
05 Ávila;Ambos sexos;2023;84,41
05 Ávila;Ambos sexos;2022;83,41
05 Ávila;Ambos sexos;2021;83,57
05 Ávila;Ambos sexos;2020;82,24
05 Ávila;Ambos sexos;2019;83,95
05 Ávila;Ambos sexos;2018;83,44
05 Ávila;Ambos sexos;2017;83,32
05 Ávila;Ambos sexos;2016;83,28
05 Ávila;Ambos sexos;2015;82,57
05 Ávila;Ambos sexos;2014;83,15
05 Ávila;Ambos sexos;2013;82,88
05 Ávila;Ambos sexos;2012;83,31
05 Ávila;Ambos sexos;2011;82,72
05 Ávila;Ambos sexos;2010;82,23
05 Ávila;Ambos sexos;2009;82,96
05 Ávila;Ambos sexos;2008;82,07
05 Ávila;Ambos sexos;2007;81,07
05 Ávila;Ambos sexos;2006;81,34
05 Ávila;Ambos sexos;2005;81,00
05 Ávila;Ambos sexos;2004;81,37
05 Ávila;Ambos sexos;2003;81,11
05 Ávila;Ambos sexos;2002;80,12
05 Ávila;Ambos sexos;2001;80,76
05 Ávila;Ambos sexos;2000;80,51
05 Ávila;Ambos sexos;1999;80,09
05 Ávila;Ambos sexos;1998;79,72
05 Ávila;Ambos sexos;1997;80,38
05 Ávila;Ambos sexos;1996;79,45
06 Badajoz;Ambos sexos;2023;82,90
06 Badajoz;Ambos sexos;2022;82,29
06 Badajoz;Ambos sexos;2021;81,89
06 Badajoz;Ambos sexos;2020;81,90
06 Badajoz;Ambos sexos;2019;82,43
06 Badajoz;Ambos sexos;2018;82,26
06 Badajoz;Ambos sexos;2017;82,09
06 Badajoz;Ambos sexos;2016;81,96
06 Badajoz;Ambos sexos;2015;81,70
06 Badajoz;Ambos sexos;2014;81,80
06 Badajoz;Ambos sexos;2013;81,54
06 Badajoz;Ambos sexos;2012;81,05
06 Badajoz;Ambos sexos;2011;81,42
06 Badajoz;Ambos sexos;2010;80,69
06 Badajoz;Ambos sexos;2009;80,52
06 Badajoz;Ambos sexos;2008;80,60
06 Badajoz;Ambos sexos;2007;80,27
06 Badajoz;Ambos sexos;2006;79,91
06 Badajoz;Ambos sexos;2005;79,22
06 Badajoz;Ambos sexos;2004;79,55
06 Badajoz;Ambos sexos;2003;78,77
06 Badajoz;Ambos sexos;2002;78,89
06 Badajoz;Ambos sexos;2001;78,98
06 Badajoz;Ambos sexos;2000;78,39
06 Badajoz;Ambos sexos;1999;78,17
06 Badajoz;Ambos sexos;1998;78,39
06 Badajoz;Ambos sexos;1997;78,15
06 Badajoz;Ambos sexos;1996;77,46
07 Balears, Illes;Ambos sexos;2023;83,71
07 Balears, Illes;Ambos sexos;2022;82,90
07 Balears, Illes;Ambos sexos;2021;83,00
07 Balears, Illes;Ambos sexos;2020;83,11
07 Balears, Illes;Ambos sexos;2019;83,40
07 Balears, Illes;Ambos sexos;2018;82,97
07 Balears, Illes;Ambos sexos;2017;82,68
07 Balears, Illes;Ambos sexos;2016;82,86
07 Balears, Illes;Ambos sexos;2015;82,28
07 Balears, Illes;Ambos sexos;2014;82,60
07 Balears, Illes;Ambos sexos;2013;82,56
07 Balears, Illes;Ambos sexos;2012;81,85
07 Balears, Illes;Ambos sexos;2011;81,93
07 Balears, Illes;Ambos sexos;2010;81,56
07 Balears, Illes;Ambos sexos;2009;81,15
07 Balears, Illes;Ambos sexos;2008;81,19
07 Balears, Illes;Ambos sexos;2007;81,26
07 Balears, Illes;Ambos sexos;2006;80,85
07 Balears, Illes;Ambos sexos;2005;80,33
07 Balears, Illes;Ambos sexos;2004;80,27
07 Balears, Illes;Ambos sexos;2003;79,78
07 Balears, Illes;Ambos sexos;2002;79,47
07 Balears, Illes;Ambos sexos;2001;79,14
07 Balears, Illes;Ambos sexos;2000;78,42
07 Balears, Illes;Ambos sexos;1999;78,13
07 Balears, Illes;Ambos sexos;1998;78,46
07 Balears, Illes;Ambos sexos;1997;78,28
07 Balears, Illes;Ambos sexos;1996;77,66
08 Barcelona;Ambos sexos;2023;84,15
08 Barcelona;Ambos sexos;2022;83,69
08 Barcelona;Ambos sexos;2021;83,48
08 Barcelona;Ambos sexos;2020;82,22
08 Barcelona;Ambos sexos;2019;84,01
08 Barcelona;Ambos sexos;2018;83,54
08 Barcelona;Ambos sexos;2017;83,40
08 Barcelona;Ambos sexos;2016;83,53
08 Barcelona;Ambos sexos;2015;83,23
08 Barcelona;Ambos sexos;2014;83,27
08 Barcelona;Ambos sexos;2013;83,06
08 Barcelona;Ambos sexos;2012;82,57
08 Barcelona;Ambos sexos;2011;82,66
08 Barcelona;Ambos sexos;2010;82,34
08 Barcelona;Ambos sexos;2009;81,98
08 Barcelona;Ambos sexos;2008;81,69
08 Barcelona;Ambos sexos;2007;81,40
08 Barcelona;Ambos sexos;2006;81,38
08 Barcelona;Ambos sexos;2005;80,54
08 Barcelona;Ambos sexos;2004;80,74
08 Barcelona;Ambos sexos;2003;80,05
08 Barcelona;Ambos sexos;2002;80,15
08 Barcelona;Ambos sexos;2001;79,87
08 Barcelona;Ambos sexos;2000;79,71
08 Barcelona;Ambos sexos;1999;79,00
08 Barcelona;Ambos sexos;1998;79,20
08 Barcelona;Ambos sexos;1997;78,92
08 Barcelona;Ambos sexos;1996;78,65
48 Bizkaia;Ambos sexos;2023;84,42
48 Bizkaia;Ambos sexos;2022;83,39
48 Bizkaia;Ambos sexos;2021;83,70
48 Bizkaia;Ambos sexos;2020;82,99
48 Bizkaia;Ambos sexos;2019;83,65
48 Bizkaia;Ambos sexos;2018;83,49
48 Bizkaia;Ambos sexos;2017;83,50
48 Bizkaia;Ambos sexos;2016;83,14
48 Bizkaia;Ambos sexos;2015;82,98
48 Bizkaia;Ambos sexos;2014;83,10
48 Bizkaia;Ambos sexos;2013;83,13
48 Bizkaia;Ambos sexos;2012;82,50
48 Bizkaia;Ambos sexos;2011;82,14
48 Bizkaia;Ambos sexos;2010;82,03
48 Bizkaia;Ambos sexos;2009;81,74
48 Bizkaia;Ambos sexos;2008;81,48
48 Bizkaia;Ambos sexos;2007;81,19
48 Bizkaia;Ambos sexos;2006;81,11
48 Bizkaia;Ambos sexos;2005;80,64
48 Bizkaia;Ambos sexos;2004;80,45
48 Bizkaia;Ambos sexos;2003;79,94
48 Bizkaia;Ambos sexos;2002;79,85
48 Bizkaia;Ambos sexos;2001;80,08
48 Bizkaia;Ambos sexos;2000;79,30
48 Bizkaia;Ambos sexos;1999;79,29
48 Bizkaia;Ambos sexos;1998;78,91
48 Bizkaia;Ambos sexos;1997;78,90
48 Bizkaia;Ambos sexos;1996;78,05
09 Burgos;Ambos sexos;2023;84,23
09 Burgos;Ambos sexos;2022;83,87
09 Burgos;Ambos sexos;2021;84,55
09 Burgos;Ambos sexos;2020;83,18
09 Burgos;Ambos sexos;2019;84,52
09 Burgos;Ambos sexos;2018;84,08
09 Burgos;Ambos sexos;2017;83,82
09 Burgos;Ambos sexos;2016;84,09
09 Burgos;Ambos sexos;2015;84,22
09 Burgos;Ambos sexos;2014;83,60
09 Burgos;Ambos sexos;2013;83,57
09 Burgos;Ambos sexos;2012;82,89
09 Burgos;Ambos sexos;2011;82,96
09 Burgos;Ambos sexos;2010;83,17
09 Burgos;Ambos sexos;2009;82,34
09 Burgos;Ambos sexos;2008;82,09
09 Burgos;Ambos sexos;2007;82,09
09 Burgos;Ambos sexos;2006;82,15
09 Burgos;Ambos sexos;2005;80,81
09 Burgos;Ambos sexos;2004;81,95
09 Burgos;Ambos sexos;2003;80,91
09 Burgos;Ambos sexos;2002;80,88
09 Burgos;Ambos sexos;2001;81,40
09 Burgos;Ambos sexos;2000;80,47
09 Burgos;Ambos sexos;1999;80,26
09 Burgos;Ambos sexos;1998;79,79
09 Burgos;Ambos sexos;1997;79,54
09 Burgos;Ambos sexos;1996;79,61
10 Cáceres;Ambos sexos;2023;83,28
10 Cáceres;Ambos sexos;2022;82,53
10 Cáceres;Ambos sexos;2021;82,62
10 Cáceres;Ambos sexos;2020;81,72
10 Cáceres;Ambos sexos;2019;83,47
10 Cáceres;Ambos sexos;2018;82,88
10 Cáceres;Ambos sexos;2017;82,47
10 Cáceres;Ambos sexos;2016;82,82
10 Cáceres;Ambos sexos;2015;82,54
10 Cáceres;Ambos sexos;2014;83,21
10 Cáceres;Ambos sexos;2013;82,34
10 Cáceres;Ambos sexos;2012;82,01
10 Cáceres;Ambos sexos;2011;82,19
10 Cáceres;Ambos sexos;2010;81,99
10 Cáceres;Ambos sexos;2009;81,86
10 Cáceres;Ambos sexos;2008;81,69
10 Cáceres;Ambos sexos;2007;80,73
10 Cáceres;Ambos sexos;2006;81,20
10 Cáceres;Ambos sexos;2005;80,17
10 Cáceres;Ambos sexos;2004;80,19
10 Cáceres;Ambos sexos;2003;79,43
10 Cáceres;Ambos sexos;2002;80,13
10 Cáceres;Ambos sexos;2001;79,67
10 Cáceres;Ambos sexos;2000;79,49
10 Cáceres;Ambos sexos;1999;79,16
10 Cáceres;Ambos sexos;1998;78,89
10 Cáceres;Ambos sexos;1997;78,91
10 Cáceres;Ambos sexos;1996;78,70
11 Cádiz;Ambos sexos;2023;82,01
11 Cádiz;Ambos sexos;2022;81,44
11 Cádiz;Ambos sexos;2021;80,75
11 Cádiz;Ambos sexos;2020;81,08
11 Cádiz;Ambos sexos;2019;81,71
11 Cádiz;Ambos sexos;2018;81,01
11 Cádiz;Ambos sexos;2017;81,27
11 Cádiz;Ambos sexos;2016;81,05
11 Cádiz;Ambos sexos;2015;80,82
11 Cádiz;Ambos sexos;2014;81,17
11 Cádiz;Ambos sexos;2013;80,66
11 Cádiz;Ambos sexos;2012;80,02
11 Cádiz;Ambos sexos;2011;80,26
11 Cádiz;Ambos sexos;2010;80,18
11 Cádiz;Ambos sexos;2009;79,75
11 Cádiz;Ambos sexos;2008;79,57
11 Cádiz;Ambos sexos;2007;79,86
11 Cádiz;Ambos sexos;2006;79,34
11 Cádiz;Ambos sexos;2005;78,09
11 Cádiz;Ambos sexos;2004;78,02
11 Cádiz;Ambos sexos;2003;77,69
11 Cádiz;Ambos sexos;2002;77,88
11 Cádiz;Ambos sexos;2001;77,84
11 Cádiz;Ambos sexos;2000;77,32
11 Cádiz;Ambos sexos;1999;76,93
11 Cádiz;Ambos sexos;1998;76,89
11 Cádiz;Ambos sexos;1997;76,77
11 Cádiz;Ambos sexos;1996;76,19
39 Cantabria;Ambos sexos;2023;84,20
39 Cantabria;Ambos sexos;2022;83,06
39 Cantabria;Ambos sexos;2021;83,63
39 Cantabria;Ambos sexos;2020;83,00
39 Cantabria;Ambos sexos;2019;83,58
39 Cantabria;Ambos sexos;2018;83,33
39 Cantabria;Ambos sexos;2017;83,31
39 Cantabria;Ambos sexos;2016;83,14
39 Cantabria;Ambos sexos;2015;82,69
39 Cantabria;Ambos sexos;2014;82,78
39 Cantabria;Ambos sexos;2013;82,96
39 Cantabria;Ambos sexos;2012;82,54
39 Cantabria;Ambos sexos;2011;82,42
39 Cantabria;Ambos sexos;2010;82,06
39 Cantabria;Ambos sexos;2009;81,96
39 Cantabria;Ambos sexos;2008;81,62
39 Cantabria;Ambos sexos;2007;80,99
39 Cantabria;Ambos sexos;2006;80,99
39 Cantabria;Ambos sexos;2005;81,07
39 Cantabria;Ambos sexos;2004;80,82
39 Cantabria;Ambos sexos;2003;80,39
39 Cantabria;Ambos sexos;2002;80,11
39 Cantabria;Ambos sexos;2001;80,27
39 Cantabria;Ambos sexos;2000;79,35
39 Cantabria;Ambos sexos;1999;79,23
39 Cantabria;Ambos sexos;1998;79,55
39 Cantabria;Ambos sexos;1997;78,80
39 Cantabria;Ambos sexos;1996;78,57
12 Castellón/Castelló;Ambos sexos;2023;83,29
12 Castellón/Castelló;Ambos sexos;2022;82,57
12 Castellón/Castelló;Ambos sexos;2021;82,15
12 Castellón/Castelló;Ambos sexos;2020;82,70
12 Castellón/Castelló;Ambos sexos;2019;82,83
12 Castellón/Castelló;Ambos sexos;2018;82,40
12 Castellón/Castelló;Ambos sexos;2017;82,72
12 Castellón/Castelló;Ambos sexos;2016;82,68
12 Castellón/Castelló;Ambos sexos;2015;82,32
12 Castellón/Castelló;Ambos sexos;2014;82,41
12 Castellón/Castelló;Ambos sexos;2013;82,43
12 Castellón/Castelló;Ambos sexos;2012;82,48
12 Castellón/Castelló;Ambos sexos;2011;81,91
12 Castellón/Castelló;Ambos sexos;2010;81,91
12 Castellón/Castelló;Ambos sexos;2009;80,94
12 Castellón/Castelló;Ambos sexos;2008;80,98
12 Castellón/Castelló;Ambos sexos;2007;80,66
12 Castellón/Castelló;Ambos sexos;2006;80,46
12 Castellón/Castelló;Ambos sexos;2005;79,68
12 Castellón/Castelló;Ambos sexos;2004;80,07
12 Castellón/Castelló;Ambos sexos;2003;79,35
12 Castellón/Castelló;Ambos sexos;2002;79,29
12 Castellón/Castelló;Ambos sexos;2001;78,98
12 Castellón/Castelló;Ambos sexos;2000;79,17
12 Castellón/Castelló;Ambos sexos;1999;78,41
12 Castellón/Castelló;Ambos sexos;1998;78,40
12 Castellón/Castelló;Ambos sexos;1997;78,29
12 Castellón/Castelló;Ambos sexos;1996;77,71
13 Ciudad Real;Ambos sexos;2023;83,05
13 Ciudad Real;Ambos sexos;2022;82,95
13 Ciudad Real;Ambos sexos;2021;82,44
13 Ciudad Real;Ambos sexos;2020;80,36
13 Ciudad Real;Ambos sexos;2019;82,98
13 Ciudad Real;Ambos sexos;2018;82,87
13 Ciudad Real;Ambos sexos;2017;82,37
13 Ciudad Real;Ambos sexos;2016;82,68
13 Ciudad Real;Ambos sexos;2015;82,09
13 Ciudad Real;Ambos sexos;2014;82,63
13 Ciudad Real;Ambos sexos;2013;82,43
13 Ciudad Real;Ambos sexos;2012;81,89
13 Ciudad Real;Ambos sexos;2011;81,96
13 Ciudad Real;Ambos sexos;2010;82,11
13 Ciudad Real;Ambos sexos;2009;81,49
13 Ciudad Real;Ambos sexos;2008;80,85
13 Ciudad Real;Ambos sexos;2007;80,70
13 Ciudad Real;Ambos sexos;2006;80,76
13 Ciudad Real;Ambos sexos;2005;79,89
13 Ciudad Real;Ambos sexos;2004;79,90
13 Ciudad Real;Ambos sexos;2003;79,55
13 Ciudad Real;Ambos sexos;2002;79,18
13 Ciudad Real;Ambos sexos;2001;79,49
13 Ciudad Real;Ambos sexos;2000;79,56
13 Ciudad Real;Ambos sexos;1999;78,69
13 Ciudad Real;Ambos sexos;1998;78,69
13 Ciudad Real;Ambos sexos;1997;78,93
13 Ciudad Real;Ambos sexos;1996;78,16
14 Córdoba;Ambos sexos;2023;82,63
14 Córdoba;Ambos sexos;2022;81,94
14 Córdoba;Ambos sexos;2021;82,12
14 Córdoba;Ambos sexos;2020;82,25
14 Córdoba;Ambos sexos;2019;82,75
14 Córdoba;Ambos sexos;2018;82,51
14 Córdoba;Ambos sexos;2017;82,22
14 Córdoba;Ambos sexos;2016;82,49
14 Córdoba;Ambos sexos;2015;82,01
14 Córdoba;Ambos sexos;2014;82,39
14 Córdoba;Ambos sexos;2013;82,11
14 Córdoba;Ambos sexos;2012;81,46
14 Córdoba;Ambos sexos;2011;81,67
14 Córdoba;Ambos sexos;2010;81,55
14 Córdoba;Ambos sexos;2009;81,06
14 Córdoba;Ambos sexos;2008;80,74
14 Córdoba;Ambos sexos;2007;80,38
14 Córdoba;Ambos sexos;2006;80,49
14 Córdoba;Ambos sexos;2005;79,65
14 Córdoba;Ambos sexos;2004;79,76
14 Córdoba;Ambos sexos;2003;79,20
14 Córdoba;Ambos sexos;2002;79,06
14 Córdoba;Ambos sexos;2001;79,32
14 Córdoba;Ambos sexos;2000;79,20
