Nacionalidad;Provincias;Sexo;Ano;Total
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2023;27.558
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2021;26.799
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2020;26.324
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2019;24.586
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2018;23.761
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2017;22.966
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2016;23.985
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2015;25.171
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2014;27.052
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2013;30.383
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2012;32.102
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2011;32.083
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2010;32.405
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2009;32.811
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2008;31.128
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2007;26.348
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2006;22.811
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2005;20.552
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2004;16.065
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2003;13.318
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2002;9.487
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2001;5.084
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;2000;1.854
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;1999;1.261
TOTAL EXTRANJEROS;02 Albacete;Ambos sexos;1996;1.115
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2023;388.748
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2021;373.423
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2020;374.618
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2019;355.454
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2018;336.902
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2017;325.120
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2016;342.686
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2015;364.382
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2014;385.225
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2013;469.417
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2012;472.610
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2011;466.684
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2010;467.099
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2009;462.974
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2008;446.368
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2007;392.907
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2006;359.150
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2005;321.640
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2004;260.316
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2003;245.883
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2002;185.598
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2001;132.444
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;2000;118.961
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;1999;102.226
TOTAL EXTRANJEROS;03 Alicante/Alacant;Ambos sexos;1996;75.722
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;2023;162.091
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;2021;156.357
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;2020;154.595
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;2019;145.908
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;2018;139.759
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;2017;137.561
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;2016;138.340
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;2015;138.104
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;2014;142.810
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;2013;146.656
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;2012;154.404
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;2011;155.315
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;2010;151.159
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;2009;143.707
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;2008;131.330
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;2007;116.214
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;2006;110.656
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;2005;93.058
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;2004;66.181
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;2003;56.276
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;2002;39.403
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;2001;29.912
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;2000;18.957
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;1999;15.090
TOTAL EXTRANJEROS;04 Almer�a;Ambos sexos;1996;13.260
TOTAL EXTRANJEROS;01 Araba/�lava;Ambos sexos;2023;33.006
TOTAL EXTRANJEROS;01 Araba/�lava;Ambos sexos;2021;32.429
TOTAL EXTRANJEROS;01 Araba/�lava;Ambos sexos;2020;32.416
TOTAL EXTRANJEROS;01 Araba/�lava;Ambos sexos;2019;30.335
TOTAL EXTRANJEROS;01 Araba/�lava;Ambos sexos;2018;28.271
TOTAL EXTRANJEROS;01 Araba/�lava;Ambos sexos;2017;26.634
TOTAL EXTRANJEROS;01 Araba/�lava;Ambos sexos;2016;25.547
TOTAL EXTRANJEROS;01 Araba/�lava;Ambos sexos;2015;26.013
TOTAL EXTRANJEROS;01 Araba/�lava;Ambos sexos;2014;26.693
TOTAL EXTRANJEROS;01 Araba/�lava;Ambos sexos;2013;28.325
TOTAL EXTRANJEROS;01 Araba/�lava;Ambos sexos;2012;30.228
TOTAL EXTRANJEROS;01 Araba/�lava;Ambos sexos;2011;28.821
TOTAL EXTRANJEROS;01 Araba/�lava;Ambos sexos;2010;28.210
TOTAL EXTRANJEROS;01 Araba/�lava;Ambos sexos;2009;26.021
TOTAL EXTRANJEROS;01 Araba/�lava;Ambos sexos;2008;22.840
TOTAL EXTRANJEROS;01 Araba/�lava;Ambos sexos;2007;19.392
TOTAL EXTRANJEROS;01 Araba/�lava;Ambos sexos;2006;16.857
TOTAL EXTRANJEROS;01 Araba/�lava;Ambos sexos;2005;15.141
TOTAL EXTRANJEROS;01 Araba/�lava;Ambos sexos;2004;12.058
TOTAL EXTRANJEROS;01 Araba/�lava;Ambos sexos;2003;10.445
TOTAL EXTRANJEROS;01 Araba/�lava;Ambos sexos;2002;8.031
TOTAL EXTRANJEROS;01 Araba/�lava;Ambos sexos;2001;5.462
TOTAL EXTRANJEROS;01 Araba/�lava;Ambos sexos;2000;3.818
TOTAL EXTRANJEROS;01 Araba/�lava;Ambos sexos;1999;2.801
TOTAL EXTRANJEROS;01 Araba/�lava;Ambos sexos;1996;2.460
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2023;45.630
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2021;45.445
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2020;45.321
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2019;41.626
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2018;40.084
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2017;38.884
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2016;40.318
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2015;41.340
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2014;45.124
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2013;48.394
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2012;50.827
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2011;50.399
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2010;49.286
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2009;47.119
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2008;40.804
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2007;32.720
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2006;30.258
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2005;26.797
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2004;22.429
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2003;19.691
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2002;14.846
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2001;10.848
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2000;7.859
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;1999;6.048
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;1996;6.029
TOTAL EXTRANJEROS;05 �vila;Ambos sexos;2023;10.491
TOTAL EXTRANJEROS;05 �vila;Ambos sexos;2021;10.520
TOTAL EXTRANJEROS;05 �vila;Ambos sexos;2020;10.472
TOTAL EXTRANJEROS;05 �vila;Ambos sexos;2019;9.449
TOTAL EXTRANJEROS;05 �vila;Ambos sexos;2018;9.141
TOTAL EXTRANJEROS;05 �vila;Ambos sexos;2017;10.284
TOTAL EXTRANJEROS;05 �vila;Ambos sexos;2016;10.739
TOTAL EXTRANJEROS;05 �vila;Ambos sexos;2015;11.500
TOTAL EXTRANJEROS;05 �vila;Ambos sexos;2014;12.601
TOTAL EXTRANJEROS;05 �vila;Ambos sexos;2013;13.520
TOTAL EXTRANJEROS;05 �vila;Ambos sexos;2012;13.912
TOTAL EXTRANJEROS;05 �vila;Ambos sexos;2011;13.574
TOTAL EXTRANJEROS;05 �vila;Ambos sexos;2010;12.613
TOTAL EXTRANJEROS;05 �vila;Ambos sexos;2009;12.423
TOTAL EXTRANJEROS;05 �vila;Ambos sexos;2008;11.782
TOTAL EXTRANJEROS;05 �vila;Ambos sexos;2007;8.500
TOTAL EXTRANJEROS;05 �vila;Ambos sexos;2006;7.026
TOTAL EXTRANJEROS;05 �vila;Ambos sexos;2005;6.073
TOTAL EXTRANJEROS;05 �vila;Ambos sexos;2004;4.448
TOTAL EXTRANJEROS;05 �vila;Ambos sexos;2003;3.514
TOTAL EXTRANJEROS;05 �vila;Ambos sexos;2002;2.350
TOTAL EXTRANJEROS;05 �vila;Ambos sexos;2001;1.248
TOTAL EXTRANJEROS;05 �vila;Ambos sexos;2000;890
TOTAL EXTRANJEROS;05 �vila;Ambos sexos;1999;700
TOTAL EXTRANJEROS;05 �vila;Ambos sexos;1996;662
TOTAL EXTRANJEROS;06 Badajoz;Ambos sexos;2023;21.309
TOTAL EXTRANJEROS;06 Badajoz;Ambos sexos;2021;21.283
TOTAL EXTRANJEROS;06 Badajoz;Ambos sexos;2020;21.030
TOTAL EXTRANJEROS;06 Badajoz;Ambos sexos;2019;19.459
TOTAL EXTRANJEROS;06 Badajoz;Ambos sexos;2018;18.810
TOTAL EXTRANJEROS;06 Badajoz;Ambos sexos;2017;18.765
TOTAL EXTRANJEROS;06 Badajoz;Ambos sexos;2016;20.098
TOTAL EXTRANJEROS;06 Badajoz;Ambos sexos;2015;20.325
TOTAL EXTRANJEROS;06 Badajoz;Ambos sexos;2014;22.689
TOTAL EXTRANJEROS;06 Badajoz;Ambos sexos;2013;25.622
TOTAL EXTRANJEROS;06 Badajoz;Ambos sexos;2012;25.975
TOTAL EXTRANJEROS;06 Badajoz;Ambos sexos;2011;25.413
TOTAL EXTRANJEROS;06 Badajoz;Ambos sexos;2010;24.040
TOTAL EXTRANJEROS;06 Badajoz;Ambos sexos;2009;22.760
TOTAL EXTRANJEROS;06 Badajoz;Ambos sexos;2008;21.569
TOTAL EXTRANJEROS;06 Badajoz;Ambos sexos;2007;16.771
TOTAL EXTRANJEROS;06 Badajoz;Ambos sexos;2006;14.566
TOTAL EXTRANJEROS;06 Badajoz;Ambos sexos;2005;12.466
TOTAL EXTRANJEROS;06 Badajoz;Ambos sexos;2004;8.600
TOTAL EXTRANJEROS;06 Badajoz;Ambos sexos;2003;7.167
TOTAL EXTRANJEROS;06 Badajoz;Ambos sexos;2002;5.436
TOTAL EXTRANJEROS;06 Badajoz;Ambos sexos;2001;4.007
TOTAL EXTRANJEROS;06 Badajoz;Ambos sexos;2000;2.778
TOTAL EXTRANJEROS;06 Badajoz;Ambos sexos;1999;2.351
TOTAL EXTRANJEROS;06 Badajoz;Ambos sexos;1996;2.138
TOTAL EXTRANJEROS;07 Balears, Illes;Ambos sexos;2023;222.017
TOTAL EXTRANJEROS;07 Balears, Illes;Ambos sexos;2021;220.297
TOTAL EXTRANJEROS;07 Balears, Illes;Ambos sexos;2020;220.035
TOTAL EXTRANJEROS;07 Balears, Illes;Ambos sexos;2019;204.987
TOTAL EXTRANJEROS;07 Balears, Illes;Ambos sexos;2018;192.861
TOTAL EXTRANJEROS;07 Balears, Illes;Ambos sexos;2017;186.933
TOTAL EXTRANJEROS;07 Balears, Illes;Ambos sexos;2016;188.896
TOTAL EXTRANJEROS;07 Balears, Illes;Ambos sexos;2015;192.518
TOTAL EXTRANJEROS;07 Balears, Illes;Ambos sexos;2014;203.112
TOTAL EXTRANJEROS;07 Balears, Illes;Ambos sexos;2013;224.406
TOTAL EXTRANJEROS;07 Balears, Illes;Ambos sexos;2012;242.570
TOTAL EXTRANJEROS;07 Balears, Illes;Ambos sexos;2011;242.812
TOTAL EXTRANJEROS;07 Balears, Illes;Ambos sexos;2010;242.256
TOTAL EXTRANJEROS;07 Balears, Illes;Ambos sexos;2009;237.562
TOTAL EXTRANJEROS;07 Balears, Illes;Ambos sexos;2008;223.036
TOTAL EXTRANJEROS;07 Balears, Illes;Ambos sexos;2007;190.170
TOTAL EXTRANJEROS;07 Balears, Illes;Ambos sexos;2006;167.751
TOTAL EXTRANJEROS;07 Balears, Illes;Ambos sexos;2005;156.270
TOTAL EXTRANJEROS;07 Balears, Illes;Ambos sexos;2004;131.423
TOTAL EXTRANJEROS;07 Balears, Illes;Ambos sexos;2003;126.505
TOTAL EXTRANJEROS;07 Balears, Illes;Ambos sexos;2002;99.744
TOTAL EXTRANJEROS;07 Balears, Illes;Ambos sexos;2001;73.614
TOTAL EXTRANJEROS;07 Balears, Illes;Ambos sexos;2000;54.729
TOTAL EXTRANJEROS;07 Balears, Illes;Ambos sexos;1999;45.017
TOTAL EXTRANJEROS;07 Balears, Illes;Ambos sexos;1996;38.093
TOTAL EXTRANJEROS;08 Barcelona;Ambos sexos;2023;886.622
TOTAL EXTRANJEROS;08 Barcelona;Ambos sexos;2021;871.758
TOTAL EXTRANJEROS;08 Barcelona;Ambos sexos;2020;883.558
TOTAL EXTRANJEROS;08 Barcelona;Ambos sexos;2019;803.709
TOTAL EXTRANJEROS;08 Barcelona;Ambos sexos;2018;743.781
TOTAL EXTRANJEROS;08 Barcelona;Ambos sexos;2017;711.314
TOTAL EXTRANJEROS;08 Barcelona;Ambos sexos;2016;688.463
TOTAL EXTRANJEROS;08 Barcelona;Ambos sexos;2015;685.843
TOTAL EXTRANJEROS;08 Barcelona;Ambos sexos;2014;729.667
TOTAL EXTRANJEROS;08 Barcelona;Ambos sexos;2013;771.990
TOTAL EXTRANJEROS;08 Barcelona;Ambos sexos;2012;792.071
TOTAL EXTRANJEROS;08 Barcelona;Ambos sexos;2011;793.720
TOTAL EXTRANJEROS;08 Barcelona;Ambos sexos;2010;805.487
TOTAL EXTRANJEROS;08 Barcelona;Ambos sexos;2009;802.006
TOTAL EXTRANJEROS;08 Barcelona;Ambos sexos;2008;745.216
TOTAL EXTRANJEROS;08 Barcelona;Ambos sexos;2007;669.263
TOTAL EXTRANJEROS;08 Barcelona;Ambos sexos;2006;645.737
TOTAL EXTRANJEROS;08 Barcelona;Ambos sexos;2005;569.305
TOTAL EXTRANJEROS;08 Barcelona;Ambos sexos;2004;469.236
TOTAL EXTRANJEROS;08 Barcelona;Ambos sexos;2003;398.459
TOTAL EXTRANJEROS;08 Barcelona;Ambos sexos;2002;275.892
TOTAL EXTRANJEROS;08 Barcelona;Ambos sexos;2001;182.242
TOTAL EXTRANJEROS;08 Barcelona;Ambos sexos;2000;121.358
TOTAL EXTRANJEROS;08 Barcelona;Ambos sexos;1999;96.499
TOTAL EXTRANJEROS;08 Barcelona;Ambos sexos;1996;83.766
TOTAL EXTRANJEROS;48 Bizkaia;Ambos sexos;2023;90.270
TOTAL EXTRANJEROS;48 Bizkaia;Ambos sexos;2021;89.607
TOTAL EXTRANJEROS;48 Bizkaia;Ambos sexos;2020;87.551
TOTAL EXTRANJEROS;48 Bizkaia;Ambos sexos;2019;78.178
TOTAL EXTRANJEROS;48 Bizkaia;Ambos sexos;2018;72.014
TOTAL EXTRANJEROS;48 Bizkaia;Ambos sexos;2017;67.750
TOTAL EXTRANJEROS;48 Bizkaia;Ambos sexos;2016;66.286
TOTAL EXTRANJEROS;48 Bizkaia;Ambos sexos;2015;65.255
TOTAL EXTRANJEROS;48 Bizkaia;Ambos sexos;2014;68.159
TOTAL EXTRANJEROS;48 Bizkaia;Ambos sexos;2013;73.868
TOTAL EXTRANJEROS;48 Bizkaia;Ambos sexos;2012;75.534
TOTAL EXTRANJEROS;48 Bizkaia;Ambos sexos;2011;72.256
TOTAL EXTRANJEROS;48 Bizkaia;Ambos sexos;2010;68.710
TOTAL EXTRANJEROS;48 Bizkaia;Ambos sexos;2009;65.985
TOTAL EXTRANJEROS;48 Bizkaia;Ambos sexos;2008;58.562
TOTAL EXTRANJEROS;48 Bizkaia;Ambos sexos;2007;50.092
TOTAL EXTRANJEROS;48 Bizkaia;Ambos sexos;2006;43.395
TOTAL EXTRANJEROS;48 Bizkaia;Ambos sexos;2005;36.217
TOTAL EXTRANJEROS;48 Bizkaia;Ambos sexos;2004;28.876
TOTAL EXTRANJEROS;48 Bizkaia;Ambos sexos;2003;23.908
TOTAL EXTRANJEROS;48 Bizkaia;Ambos sexos;2002;18.661
TOTAL EXTRANJEROS;48 Bizkaia;Ambos sexos;2001;13.120
TOTAL EXTRANJEROS;48 Bizkaia;Ambos sexos;2000;9.419
TOTAL EXTRANJEROS;48 Bizkaia;Ambos sexos;1999;7.633
TOTAL EXTRANJEROS;48 Bizkaia;Ambos sexos;1996;7.437
TOTAL EXTRANJEROS;09 Burgos;Ambos sexos;2023;29.635
TOTAL EXTRANJEROS;09 Burgos;Ambos sexos;2021;28.878
TOTAL EXTRANJEROS;09 Burgos;Ambos sexos;2020;28.626
TOTAL EXTRANJEROS;09 Burgos;Ambos sexos;2019;26.470
TOTAL EXTRANJEROS;09 Burgos;Ambos sexos;2018;24.917
TOTAL EXTRANJEROS;09 Burgos;Ambos sexos;2017;24.289
TOTAL EXTRANJEROS;09 Burgos;Ambos sexos;2016;25.675
TOTAL EXTRANJEROS;09 Burgos;Ambos sexos;2015;26.765
TOTAL EXTRANJEROS;09 Burgos;Ambos sexos;2014;28.604
TOTAL EXTRANJEROS;09 Burgos;Ambos sexos;2013;32.522
TOTAL EXTRANJEROS;09 Burgos;Ambos sexos;2012;34.618
TOTAL EXTRANJEROS;09 Burgos;Ambos sexos;2011;34.853
TOTAL EXTRANJEROS;09 Burgos;Ambos sexos;2010;34.566
TOTAL EXTRANJEROS;09 Burgos;Ambos sexos;2009;34.671
TOTAL EXTRANJEROS;09 Burgos;Ambos sexos;2008;32.073
TOTAL EXTRANJEROS;09 Burgos;Ambos sexos;2007;23.680
TOTAL EXTRANJEROS;09 Burgos;Ambos sexos;2006;20.875
TOTAL EXTRANJEROS;09 Burgos;Ambos sexos;2005;17.357
TOTAL EXTRANJEROS;09 Burgos;Ambos sexos;2004;13.331
TOTAL EXTRANJEROS;09 Burgos;Ambos sexos;2003;10.908
TOTAL EXTRANJEROS;09 Burgos;Ambos sexos;2002;7.777
TOTAL EXTRANJEROS;09 Burgos;Ambos sexos;2001;4.386
TOTAL EXTRANJEROS;09 Burgos;Ambos sexos;2000;2.257
TOTAL EXTRANJEROS;09 Burgos;Ambos sexos;1999;2.006
TOTAL EXTRANJEROS;09 Burgos;Ambos sexos;1996;1.917
TOTAL EXTRANJEROS;10 C�ceres;Ambos sexos;2023;13.829
TOTAL EXTRANJEROS;10 C�ceres;Ambos sexos;2021;13.603
TOTAL EXTRANJEROS;10 C�ceres;Ambos sexos;2020;13.637
TOTAL EXTRANJEROS;10 C�ceres;Ambos sexos;2019;13.164
TOTAL EXTRANJEROS;10 C�ceres;Ambos sexos;2018;12.837
TOTAL EXTRANJEROS;10 C�ceres;Ambos sexos;2017;12.852
TOTAL EXTRANJEROS;10 C�ceres;Ambos sexos;2016;13.609
TOTAL EXTRANJEROS;10 C�ceres;Ambos sexos;2015;14.012
TOTAL EXTRANJEROS;10 C�ceres;Ambos sexos;2014;15.027
TOTAL EXTRANJEROS;10 C�ceres;Ambos sexos;2013;16.055
TOTAL EXTRANJEROS;10 C�ceres;Ambos sexos;2012;16.566
TOTAL EXTRANJEROS;10 C�ceres;Ambos sexos;2011;16.306
TOTAL EXTRANJEROS;10 C�ceres;Ambos sexos;2010;15.316
TOTAL EXTRANJEROS;10 C�ceres;Ambos sexos;2009;14.463
TOTAL EXTRANJEROS;10 C�ceres;Ambos sexos;2008;13.746
TOTAL EXTRANJEROS;10 C�ceres;Ambos sexos;2007;12.439
TOTAL EXTRANJEROS;10 C�ceres;Ambos sexos;2006;12.901
TOTAL EXTRANJEROS;10 C�ceres;Ambos sexos;2005;12.875
TOTAL EXTRANJEROS;10 C�ceres;Ambos sexos;2004;11.466
TOTAL EXTRANJEROS;10 C�ceres;Ambos sexos;2003;10.718
TOTAL EXTRANJEROS;10 C�ceres;Ambos sexos;2002;9.689
TOTAL EXTRANJEROS;10 C�ceres;Ambos sexos;2001;7.620
TOTAL EXTRANJEROS;10 C�ceres;Ambos sexos;2000;5.935
TOTAL EXTRANJEROS;10 C�ceres;Ambos sexos;1999;5.125
TOTAL EXTRANJEROS;10 C�ceres;Ambos sexos;1996;1.943
TOTAL EXTRANJEROS;11 C�diz;Ambos sexos;2023;52.225
TOTAL EXTRANJEROS;11 C�diz;Ambos sexos;2021;50.609
TOTAL EXTRANJEROS;11 C�diz;Ambos sexos;2020;49.470
TOTAL EXTRANJEROS;11 C�diz;Ambos sexos;2019;45.325
TOTAL EXTRANJEROS;11 C�diz;Ambos sexos;2018;42.552
TOTAL EXTRANJEROS;11 C�diz;Ambos sexos;2017;40.938
TOTAL EXTRANJEROS;11 C�diz;Ambos sexos;2016;41.299
TOTAL EXTRANJEROS;11 C�diz;Ambos sexos;2015;41.782
TOTAL EXTRANJEROS;11 C�diz;Ambos sexos;2014;42.894
TOTAL EXTRANJEROS;11 C�diz;Ambos sexos;2013;46.620
TOTAL EXTRANJEROS;11 C�diz;Ambos sexos;2012;51.900
TOTAL EXTRANJEROS;11 C�diz;Ambos sexos;2011;50.374
TOTAL EXTRANJEROS;11 C�diz;Ambos sexos;2010;47.767
TOTAL EXTRANJEROS;11 C�diz;Ambos sexos;2009;45.687
TOTAL EXTRANJEROS;11 C�diz;Ambos sexos;2008;42.804
TOTAL EXTRANJEROS;11 C�diz;Ambos sexos;2007;36.888
TOTAL EXTRANJEROS;11 C�diz;Ambos sexos;2006;31.869
TOTAL EXTRANJEROS;11 C�diz;Ambos sexos;2005;27.720
TOTAL EXTRANJEROS;11 C�diz;Ambos sexos;2004;21.409
TOTAL EXTRANJEROS;11 C�diz;Ambos sexos;2003;19.904
TOTAL EXTRANJEROS;11 C�diz;Ambos sexos;2002;15.438
